anchor_data_id,anchor_entity,anchor_wikipedia_url,anchor_entity_type,anchor_question,anchor_answer,anchor_question_type,target_side,method1_pair_entity,method1_pair_data_id,method1_pair_wikipedia_url,method1_pair_type,method1_similarity_basis,method1_composite_layout,method1_query,method1_expected_answer,method2_pair_entity,method2_pair_data_id,method2_pair_wikipedia_url,method2_pair_type,method2_similarity_basis,method2_composite_layout,method2_query,method2_query_with_position,method2_query_without_position,method2_expected_answer,distractor_entity,distractor_wikipedia_url,anchor_image_id,anchor_image_path,method1_pair_image_id,method1_pair_image_path,method2_pair_image_id,method2_pair_image_path,method1_composite_image_path,method2_composite_image_path,method1_image_status,method2_image_status,image_error
infoseek_val_00009229,Kākā,https://en.wikipedia.org/wiki/New_Zealand_kaka,bird,What is the average body weight of a male of this bird in grams?,452,Numerical,left,Osprey,infoseek_val_00014262,https://en.wikipedia.org/wiki/Osprey,bird,same_type,Kākā(left) + Osprey(right),What is the average body weight of a male of the bird on the left in grams?,452,ATR 72,infoseek_val_00048587,https://en.wikipedia.org/wiki/ATR_72,aircraft,different_entity_type+cross_family,Kākā(left) + ATR 72(right),What is the average body weight of a male of the bird on the left in grams?,What is the average body weight of a male of the bird on the left in grams?,What is the average body weight of a male of this bird in grams?,452,ATR 72,https://en.wikipedia.org/wiki/ATR_72,oven_04962488,images/infoseek/val/oven_04962488.jpg,oven_04965880,images/infoseek/val/oven_04965880.JPEG,oven_05010002,images/infoseek/val/oven_05010002.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0140_infoseek_val_00009229__m1__infoseek_val_00014262.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0140_infoseek_val_00009229__m2__infoseek_val_00048587.jpg,saved,saved,
infoseek_val_00013167,Leptopteris superba,https://en.wikipedia.org/wiki/Leptopteris_superba,plant,What is the closest parent genus of this plant?,Leptopteris,String,right,Liquidambar styraciflua,infoseek_val_00035816,https://en.wikipedia.org/wiki/Liquidambar_styraciflua,plant,same_type+same_question,Leptopteris superba(right) + Liquidambar styraciflua(left),What is the closest parent genus of the plant on the right?,Leptopteris,Dead Sea,infoseek_val_00000444,https://en.wikipedia.org/wiki/Dead_Sea,lake,different_entity_type+cross_family,Leptopteris superba(right) + Dead Sea(left),What is the closest parent genus of the plant on the right?,What is the closest parent genus of the plant on the right?,What is the closest parent genus of this plant?,Leptopteris,Dead Sea,https://en.wikipedia.org/wiki/Dead_Sea,oven_04964321,images/infoseek/val/oven_04964321.jpg,oven_05044511,images/infoseek/val/oven_05044511.jpg,oven_04957496,images/infoseek/val/oven_04957496.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0141_infoseek_val_00013167__m1__infoseek_val_00035816.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0141_infoseek_val_00013167__m2__infoseek_val_00000444.jpg,saved,saved,
infoseek_val_00052198,Ergaki,https://en.wikipedia.org/wiki/Ergaki,mountain,What country does this mountain range belong to?,Russia,String,left,Salève,infoseek_val_00004350,https://en.wikipedia.org/wiki/Sal%C3%A8ve,mountain,same_type,Ergaki(left) + Salève(right),What country does the mountain on the left range belong to?,Russia,Satyrium calanus,infoseek_val_00027584,https://en.wikipedia.org/wiki/Satyrium_calanus,insect,different_entity_type+cross_family,Ergaki(left) + Satyrium calanus(right),What country does the mountain on the left range belong to?,What country does the mountain on the left range belong to?,What country does this mountain range belong to?,Russia,Satyrium calanus,https://en.wikipedia.org/wiki/Satyrium_calanus,oven_05015637,images/infoseek/val/oven_05015637.jpg,oven_04955828,images/infoseek/val/oven_04955828.jpg,oven_05040680,images/infoseek/val/oven_05040680.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0142_infoseek_val_00052198__m1__infoseek_val_00004350.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0142_infoseek_val_00052198__m2__infoseek_val_00027584.jpg,saved,saved,
infoseek_val_00046818,Airbus A310,https://en.wikipedia.org/wiki/Airbus_A310,aircraft,What is the total quantity of produced items for this type of aircraft over its entire production run?,255,Numerical,right,Tupolev Tu-134,infoseek_val_00047755,https://en.wikipedia.org/wiki/Tupolev_Tu-134,aircraft,same_type+same_question,Airbus A310(right) + Tupolev Tu-134(left),What is the total quantity of produced items for the aircraft on the right over its entire production run?,255,Sunflower seed,infoseek_val_00008198,https://en.wikipedia.org/wiki/Sunflower_seed,food,different_entity_type+cross_family,Airbus A310(right) + Sunflower seed(left),What is the total quantity of produced items for the aircraft on the right over its entire production run?,What is the total quantity of produced items for the aircraft on the right over its entire production run?,What is the total quantity of produced items for this type of aircraft over its entire production run?,255,Sunflower seed,https://en.wikipedia.org/wiki/Sunflower_seed,oven_05009568,images/infoseek/val/oven_05009568.jpg,oven_05009781,images/infoseek/val/oven_05009781.jpg,oven_05002111,images/infoseek/val/oven_05002111.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0143_infoseek_val_00046818__m1__infoseek_val_00047755.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0143_infoseek_val_00046818__m2__infoseek_val_00008198.jpg,saved,saved,
infoseek_val_00013517,Manassas National Battlefield Park,https://en.wikipedia.org/wiki/Manassas_National_Battlefield_Park,park,Which significant event was held in this park?,Second Battle of Bull Run,String,left,Huis Ten Bosch (theme park),infoseek_val_00011825,https://en.wikipedia.org/wiki/Huis_Ten_Bosch_(theme_park),park,same_type,Manassas National Battlefield Park(left) + Huis Ten Bosch (theme park)(right),Which significant event was held in the park on the left?,Second Battle of Bull Run,"Green Mosque, Bursa",infoseek_val_00017893,"https://en.wikipedia.org/wiki/Green_Mosque,_Bursa",facility,different_entity_type+cross_family,"Manassas National Battlefield Park(left) + Green Mosque, Bursa(right)",Which significant event was held in the park on the left?,Which significant event was held in the park on the left?,Which significant event was held in this park?,Second Battle of Bull Run,"Green Mosque, Bursa","https://en.wikipedia.org/wiki/Green_Mosque,_Bursa",oven_04953582,images/infoseek/val/oven_04953582.jpg,oven_04955958,images/infoseek/val/oven_04955958.jpg,oven_04953740,images/infoseek/val/oven_04953740.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0144_infoseek_val_00013517__m1__infoseek_val_00011825.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0144_infoseek_val_00013517__m2__infoseek_val_00017893.jpg,saved,saved,
infoseek_val_00010250,El Cap de Barcelona,https://en.wikipedia.org/wiki/El_Cap_de_Barcelona,building,Which artistic movement is this building associated with?,Pop,String,right,Musée Bolo,infoseek_val_00015012,https://en.wikipedia.org/wiki/Mus%C3%A9e_Bolo,building,same_type,El Cap de Barcelona(right) + Musée Bolo(left),Which artistic movement is the building on the right associated with?,Pop,Fort Macon State Park,infoseek_val_00015647,https://en.wikipedia.org/wiki/Fort_Macon_State_Park,park,different_entity_type+cross_family,El Cap de Barcelona(right) + Fort Macon State Park(left),Which artistic movement is the building on the right associated with?,Which artistic movement is the building on the right associated with?,Which artistic movement is this building associated with?,Pop,Fort Macon State Park,https://en.wikipedia.org/wiki/Fort_Macon_State_Park,oven_04954143,images/infoseek/val/oven_04954143.jpg,oven_04953660,images/infoseek/val/oven_04953660.jpg,oven_04958106,images/infoseek/val/oven_04958106.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0145_infoseek_val_00010250__m1__infoseek_val_00015012.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0145_infoseek_val_00010250__m2__infoseek_val_00015647.jpg,saved,saved,
infoseek_val_00028324,Crested lark,https://en.wikipedia.org/wiki/Crested_lark,bird,What genus does this bird species belong to?,Galerida,String,left,White stork,infoseek_val_00009652,https://en.wikipedia.org/wiki/White_stork,bird,same_type,Crested lark(left) + White stork(right),What genus does the bird on the left species belong to?,Galerida,Ailsa Craig,infoseek_val_00042411,https://en.wikipedia.org/wiki/Ailsa_Craig,island,different_entity_type+cross_family,Crested lark(left) + Ailsa Craig(right),What genus does the bird on the left species belong to?,What genus does the bird on the left species belong to?,What genus does this bird species belong to?,Galerida,Ailsa Craig,https://en.wikipedia.org/wiki/Ailsa_Craig,oven_05029548,images/infoseek/val/oven_05029548.jpg,oven_04965808,images/infoseek/val/oven_04965808.JPEG,oven_05020006,images/infoseek/val/oven_05020006.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0146_infoseek_val_00028324__m1__infoseek_val_00009652.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0146_infoseek_val_00028324__m2__infoseek_val_00042411.jpg,saved,saved,
infoseek_val_00065406,Bolbitius titubans,https://en.wikipedia.org/wiki/Bolbitius_titubans,plant,What is the genus of this plant?,Bolbitius,String,right,Eriophyllum lanatum,infoseek_val_00001415,https://en.wikipedia.org/wiki/Eriophyllum_lanatum,plant,same_type+same_question,Bolbitius titubans(right) + Eriophyllum lanatum(left),What is the genus of the plant on the right?,Bolbitius,Tsumago-juku,infoseek_val_00045646,https://en.wikipedia.org/wiki/Tsumago-juku,town,different_entity_type+cross_family,Bolbitius titubans(right) + Tsumago-juku(left),What is the genus of the plant on the right?,What is the genus of the plant on the right?,What is the genus of this plant?,Bolbitius,Tsumago-juku,https://en.wikipedia.org/wiki/Tsumago-juku,oven_05039802,images/infoseek/val/oven_05039802.jpg,oven_04969555,images/infoseek/val/oven_04969555.jpg,oven_05021020,images/infoseek/val/oven_05021020.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0147_infoseek_val_00065406__m1__infoseek_val_00001415.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0147_infoseek_val_00065406__m2__infoseek_val_00045646.jpg,saved,saved,
infoseek_val_00066045,Guarda Cathedral,https://en.wikipedia.org/wiki/Guarda_Cathedral,building,What architectural styles does this building combine?,Gothic and Manueline,String,left,"Sant Pere, Camprodon",infoseek_val_00010573,"https://en.wikipedia.org/wiki/Sant_Pere,_Camprodon",building,same_type,"Guarda Cathedral(left) + Sant Pere, Camprodon(right)",What architectural styles does the building on the left combine?,Gothic and Manueline,Goldfish,infoseek_val_00008014,https://en.wikipedia.org/wiki/Goldfish,fish,different_entity_type+cross_family,Guarda Cathedral(left) + Goldfish(right),What architectural styles does the building on the left combine?,What architectural styles does the building on the left combine?,What architectural styles does this building combine?,Gothic and Manueline,Goldfish,https://en.wikipedia.org/wiki/Goldfish,oven_05025520,images/infoseek/val/oven_05025520.jpg,oven_04952139,images/infoseek/val/oven_04952139.jpg,oven_04965098,images/infoseek/val/oven_04965098.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0148_infoseek_val_00066045__m1__infoseek_val_00010573.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0148_infoseek_val_00066045__m2__infoseek_val_00008014.jpg,saved,saved,
infoseek_val_00000536,Place de la Concorde,https://en.wikipedia.org/wiki/Place_de_la_Concorde,building,In which part of the city is this building located?,8th arrondissement of Paris,String,right,Faisal Mosque,infoseek_val_00017641,https://en.wikipedia.org/wiki/Faisal_Mosque,building,same_type,Place de la Concorde(right) + Faisal Mosque(left),In which part of the city is the building on the right located?,8th arrondissement of Paris,Morchella conica,infoseek_val_00062562,https://en.wikipedia.org/wiki/Morchella_conica,fungus,different_entity_type+cross_family,Place de la Concorde(right) + Morchella conica(left),In which part of the city is the building on the right located?,In which part of the city is the building on the right located?,In which part of the city is this building located?,8th arrondissement of Paris,Morchella conica,https://en.wikipedia.org/wiki/Morchella_conica,oven_04956340,images/infoseek/val/oven_04956340.jpg,oven_04958556,images/infoseek/val/oven_04958556.jpg,oven_05069609,images/infoseek/val/oven_05069609.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0149_infoseek_val_00000536__m1__infoseek_val_00017641.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0149_infoseek_val_00000536__m2__infoseek_val_00062562.jpg,saved,saved,
infoseek_val_00031868,Olive,https://en.wikipedia.org/wiki/Olive,plant,In which region was this plant originally discovered?,"Mediterranean Europe, Asia, and Africa",String,left,Zealandia pustulata,infoseek_val_00024552,https://en.wikipedia.org/wiki/Zealandia_pustulata,plant,same_type,Olive(left) + Zealandia pustulata(right),In which region was the plant on the left originally discovered?,"Mediterranean Europe, Asia, and Africa",Stilton,infoseek_val_00048574,https://en.wikipedia.org/wiki/Stilton,village,different_entity_type+cross_family,Olive(left) + Stilton(right),In which region was the plant on the left originally discovered?,In which region was the plant on the left originally discovered?,In which region was this plant originally discovered?,"Mediterranean Europe, Asia, and Africa",Stilton,https://en.wikipedia.org/wiki/Stilton,oven_04945090,images/infoseek/val/oven_04945090.JPEG,oven_05032507,images/infoseek/val/oven_05032507.jpg,oven_05064026,images/infoseek/val/oven_05064026.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0150_infoseek_val_00031868__m1__infoseek_val_00024552.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0150_infoseek_val_00031868__m2__infoseek_val_00048574.jpg,saved,saved,
infoseek_val_00057476,Elephant,https://en.wikipedia.org/wiki/Elephant,animal,What is the approximate shoulder height range of this animal in centimetres?,304–336 cm,Numerical,right,Vipera berus,infoseek_val_00028264,https://en.wikipedia.org/wiki/Vipera_berus,animal,same_type,Elephant(right) + Vipera berus(left),What is the approximate shoulder height range of the animal on the right in centimetres?,304–336 cm,Plywood,infoseek_val_00024454,https://en.wikipedia.org/wiki/Plywood,material,different_entity_type+cross_family,Elephant(right) + Plywood(left),What is the approximate shoulder height range of the animal on the right in centimetres?,What is the approximate shoulder height range of the animal on the right in centimetres?,What is the approximate shoulder height range of this animal in centimetres?,304–336 cm,Plywood,https://en.wikipedia.org/wiki/Plywood,oven_04945756,images/infoseek/val/oven_04945756.JPEG,oven_05036541,images/infoseek/val/oven_05036541.JPEG,oven_04947929,images/infoseek/val/oven_04947929.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0151_infoseek_val_00057476__m1__infoseek_val_00028264.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0151_infoseek_val_00057476__m2__infoseek_val_00024454.jpg,saved,saved,
infoseek_val_00020008,"Palace of Justice, Nuremberg","https://en.wikipedia.org/wiki/Palace_of_Justice,_Nuremberg",building,Which significant event was held in this building?,Nuremberg trials,String,left,Château de Courances,infoseek_val_00009885,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Courances,building,same_type,"Palace of Justice, Nuremberg(left) + Château de Courances(right)",Which significant event was held in the building on the left?,Nuremberg trials,Lysimachia ciliata,infoseek_val_00066961,https://en.wikipedia.org/wiki/Lysimachia_ciliata,plant,different_entity_type+cross_family,"Palace of Justice, Nuremberg(left) + Lysimachia ciliata(right)",Which significant event was held in the building on the left?,Which significant event was held in the building on the left?,Which significant event was held in this building?,Nuremberg trials,Lysimachia ciliata,https://en.wikipedia.org/wiki/Lysimachia_ciliata,oven_05018990,images/infoseek/val/oven_05018990.jpg,oven_04953051,images/infoseek/val/oven_04953051.jpg,oven_05029169,images/infoseek/val/oven_05029169.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0152_infoseek_val_00020008__m1__infoseek_val_00009885.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0152_infoseek_val_00020008__m2__infoseek_val_00066961.jpg,saved,saved,
infoseek_val_00012484,Lestes disjunctus,https://en.wikipedia.org/wiki/Lestes_disjunctus,insect,What is the conservation status of this insect according to the International Union for Conservation of Nature?,Least Concern,String,right,Dythemis velox,infoseek_val_00056433,https://en.wikipedia.org/wiki/Dythemis_velox,insect,same_type+same_question,Lestes disjunctus(right) + Dythemis velox(left),What is the conservation status of the insect on the right according to the International Union for Conservation of Nature?,Least Concern,Emirates Stadium,infoseek_val_00039889,https://en.wikipedia.org/wiki/Emirates_Stadium,building,different_entity_type+cross_family,Lestes disjunctus(right) + Emirates Stadium(left),What is the conservation status of the insect on the right according to the International Union for Conservation of Nature?,What is the conservation status of the insect on the right according to the International Union for Conservation of Nature?,What is the conservation status of this insect according to the International Union for Conservation of Nature?,Least Concern,Emirates Stadium,https://en.wikipedia.org/wiki/Emirates_Stadium,oven_04967638,images/infoseek/val/oven_04967638.jpg,oven_05040450,images/infoseek/val/oven_05040450.jpg,oven_05022187,images/infoseek/val/oven_05022187.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0153_infoseek_val_00012484__m1__infoseek_val_00056433.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0153_infoseek_val_00012484__m2__infoseek_val_00039889.jpg,saved,saved,
infoseek_val_00018706,Cocculus carolinus,https://en.wikipedia.org/wiki/Cocculus_carolinus,plant,What is the closest upper taxonomic rank of this plant?,moonseed family (Cocculus),String,left,Linum,infoseek_val_00030775,https://en.wikipedia.org/wiki/Linum,plant,same_type+same_question,Cocculus carolinus(left) + Linum(right),What is the closest upper taxonomic rank of the plant on the left?,moonseed family (Cocculus),Ben Nevis,infoseek_val_00007313,https://en.wikipedia.org/wiki/Ben_Nevis,mountain,different_entity_type+cross_family,Cocculus carolinus(left) + Ben Nevis(right),What is the closest upper taxonomic rank of the plant on the left?,What is the closest upper taxonomic rank of the plant on the left?,What is the closest upper taxonomic rank of this plant?,moonseed family (Cocculus),Ben Nevis,https://en.wikipedia.org/wiki/Ben_Nevis,oven_05039601,images/infoseek/val/oven_05039601.jpg,oven_05030237,images/infoseek/val/oven_05030237.jpg,oven_04955198,images/infoseek/val/oven_04955198.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0154_infoseek_val_00018706__m1__infoseek_val_00030775.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0154_infoseek_val_00018706__m2__infoseek_val_00007313.jpg,saved,saved,
infoseek_val_00009658,Least chipmunk,https://en.wikipedia.org/wiki/Least_chipmunk,animal,How many days does the gestation of this animal take?,28 to 30 days,Numerical,right,Dingo,infoseek_val_00009062,https://en.wikipedia.org/wiki/Dingo,animal,same_type+same_question,Least chipmunk(right) + Dingo(left),How many days does the gestation of the animal on the right take?,28 to 30 days,McLaren 12C,infoseek_val_00005441,https://en.wikipedia.org/wiki/McLaren_12C,vehicle,different_entity_type+cross_family,Least chipmunk(right) + McLaren 12C(left),How many days does the gestation of the animal on the right take?,How many days does the gestation of the animal on the right take?,How many days does the gestation of this animal take?,28 to 30 days,McLaren 12C,https://en.wikipedia.org/wiki/McLaren_12C,oven_04971498,images/infoseek/val/oven_04971498.jpg,oven_04979635,images/infoseek/val/oven_04979635.JPEG,oven_04950783,images/infoseek/val/oven_04950783.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0155_infoseek_val_00009658__m1__infoseek_val_00009062.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0155_infoseek_val_00009658__m2__infoseek_val_00005441.jpg,saved,saved,
infoseek_val_00037318,Brown pelican,https://en.wikipedia.org/wiki/Brown_pelican,bird,How many eggs does this bird typically lay per clutch?,2-4,Numerical,left,Shoebill,infoseek_val_00018491,https://en.wikipedia.org/wiki/Shoebill,bird,same_type+same_question,Brown pelican(left) + Shoebill(right),How many eggs does the bird on the left typically lay per clutch?,2-4,Marble Bridge,infoseek_val_00032794,https://en.wikipedia.org/wiki/Marble_Bridge,bridge,different_entity_type+cross_family,Brown pelican(left) + Marble Bridge(right),How many eggs does the bird on the left typically lay per clutch?,How many eggs does the bird on the left typically lay per clutch?,How many eggs does this bird typically lay per clutch?,2-4,Marble Bridge,https://en.wikipedia.org/wiki/Marble_Bridge,oven_05040320,images/infoseek/val/oven_05040320.jpg,oven_04977617,images/infoseek/val/oven_04977617.JPEG,oven_05024893,images/infoseek/val/oven_05024893.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0156_infoseek_val_00037318__m1__infoseek_val_00018491.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0156_infoseek_val_00037318__m2__infoseek_val_00032794.jpg,saved,saved,
infoseek_val_00070380,Ratite,https://en.wikipedia.org/wiki/Ratite,animal,What is the closest parent taxonomy of this animal?,Palaeognathae,String,right,Ocelot,infoseek_val_00013915,https://en.wikipedia.org/wiki/Ocelot,animal,same_type+same_question,Ratite(right) + Ocelot(left),What is the closest parent taxonomy of the animal on the right?,Palaeognathae,De Havilland Canada DHC-6 Twin Otter,infoseek_val_00025637,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter,aircraft,different_entity_type+cross_family,Ratite(right) + De Havilland Canada DHC-6 Twin Otter(left),What is the closest parent taxonomy of the animal on the right?,What is the closest parent taxonomy of the animal on the right?,What is the closest parent taxonomy of this animal?,Palaeognathae,De Havilland Canada DHC-6 Twin Otter,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter,oven_05047123,images/infoseek/val/oven_05047123.JPEG,oven_04961294,images/infoseek/val/oven_04961294.JPEG,oven_00004129,images/infoseek/val/oven_00004129.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0157_infoseek_val_00070380__m1__infoseek_val_00013915.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0157_infoseek_val_00070380__m2__infoseek_val_00025637.jpg,saved,saved,
infoseek_val_00037711,Monte Carlo Casino,https://en.wikipedia.org/wiki/Monte_Carlo_Casino,building,Who is the owner of this building?,Société des bains de mer de Monaco,String,left,Shakespeare's Birthplace,infoseek_val_00060389,https://en.wikipedia.org/wiki/Shakespeare%27s_Birthplace,building,same_type+same_question,Monte Carlo Casino(left) + Shakespeare's Birthplace(right),Who is the owner of the building on the left?,Société des bains de mer de Monaco,Scissor-tailed flycatcher,infoseek_val_00032696,https://en.wikipedia.org/wiki/Scissor-tailed_flycatcher,bird,different_entity_type+cross_family,Monte Carlo Casino(left) + Scissor-tailed flycatcher(right),Who is the owner of the building on the left?,Who is the owner of the building on the left?,Who is the owner of this building?,Société des bains de mer de Monaco,Scissor-tailed flycatcher,https://en.wikipedia.org/wiki/Scissor-tailed_flycatcher,oven_05010848,images/infoseek/val/oven_05010848.jpg,oven_05024803,images/infoseek/val/oven_05024803.jpg,oven_05040040,images/infoseek/val/oven_05040040.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0158_infoseek_val_00037711__m1__infoseek_val_00060389.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0158_infoseek_val_00037711__m2__infoseek_val_00032696.jpg,saved,saved,
infoseek_val_00069920,Common eider,https://en.wikipedia.org/wiki/Common_eider,bird,What is the average weight of a male of this bird in kilograms?,2.21,Numerical,right,Wood sandpiper,infoseek_val_00000621,https://en.wikipedia.org/wiki/Wood_sandpiper,bird,same_type,Common eider(right) + Wood sandpiper(left),What is the average weight of a male of the bird on the right in kilograms?,2.21,Lake Suwa,infoseek_val_00001063,https://en.wikipedia.org/wiki/Lake_Suwa,lake,different_entity_type+cross_family,Common eider(right) + Lake Suwa(left),What is the average weight of a male of the bird on the right in kilograms?,What is the average weight of a male of the bird on the right in kilograms?,What is the average weight of a male of this bird in kilograms?,2.21,Lake Suwa,https://en.wikipedia.org/wiki/Lake_Suwa,oven_05044802,images/infoseek/val/oven_05044802.jpg,oven_04968084,images/infoseek/val/oven_04968084.jpg,oven_04951915,images/infoseek/val/oven_04951915.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0159_infoseek_val_00069920__m1__infoseek_val_00000621.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0159_infoseek_val_00069920__m2__infoseek_val_00001063.jpg,saved,saved,
infoseek_val_00020528,Centaurea calcitrapa,https://en.wikipedia.org/wiki/Centaurea_calcitrapa,plant,What is the genus of this plant?,Centaurea,String,left,Malus angustifolia,infoseek_val_00065593,https://en.wikipedia.org/wiki/Malus_angustifolia,plant,same_type+same_question,Centaurea calcitrapa(left) + Malus angustifolia(right),What is the genus of the plant on the left?,Centaurea,Miso,infoseek_val_00053022,https://en.wikipedia.org/wiki/Miso,food,different_entity_type+cross_family,Centaurea calcitrapa(left) + Miso(right),What is the genus of the plant on the left?,What is the genus of the plant on the left?,What is the genus of this plant?,Centaurea,Miso,https://en.wikipedia.org/wiki/Miso,oven_05035335,images/infoseek/val/oven_05035335.jpg,oven_05068454,images/infoseek/val/oven_05068454.JPEG,oven_05064075,images/infoseek/val/oven_05064075.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0160_infoseek_val_00020528__m1__infoseek_val_00065593.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0160_infoseek_val_00020528__m2__infoseek_val_00053022.jpg,saved,saved,
infoseek_val_00057008,Temple of Athena (Paestum),https://en.wikipedia.org/wiki/Temple_of_Athena_(Paestum),building,What is the city or town where this building is located?,Capaccio Paestum,String,right,Parliament Hill,infoseek_val_00063114,https://en.wikipedia.org/wiki/Parliament_Hill,building,same_type,Temple of Athena (Paestum)(right) + Parliament Hill(left),What is the city or town where the building on the right is located?,Capaccio Paestum,American pika,infoseek_val_00034064,https://en.wikipedia.org/wiki/American_pika,animal,different_entity_type+cross_family,Temple of Athena (Paestum)(right) + American pika(left),What is the city or town where the building on the right is located?,What is the city or town where the building on the right is located?,What is the city or town where this building is located?,Capaccio Paestum,American pika,https://en.wikipedia.org/wiki/American_pika,oven_05021716,images/infoseek/val/oven_05021716.jpg,oven_05023280,images/infoseek/val/oven_05023280.jpg,oven_05032867,images/infoseek/val/oven_05032867.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0161_infoseek_val_00057008__m1__infoseek_val_00063114.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0161_infoseek_val_00057008__m2__infoseek_val_00034064.jpg,saved,saved,
infoseek_val_00068215,Predjama Castle,https://en.wikipedia.org/wiki/Predjama_Castle,building,Which town is near this building's location?,Postojna,String,left,Brabo Fountain,infoseek_val_00038269,https://en.wikipedia.org/wiki/Brabo_Fountain,building,same_type,Predjama Castle(left) + Brabo Fountain(right),Which town is near the building on the left's location?,Postojna,Epitheca princeps,infoseek_val_00048740,https://en.wikipedia.org/wiki/Epitheca_princeps,insect,different_entity_type+cross_family,Predjama Castle(left) + Epitheca princeps(right),Which town is near the building on the left's location?,Which town is near the building on the left's location?,Which town is near this building's location?,Postojna,Epitheca princeps,https://en.wikipedia.org/wiki/Epitheca_princeps,oven_05014504,images/infoseek/val/oven_05014504.jpg,oven_05018209,images/infoseek/val/oven_05018209.jpg,oven_05039955,images/infoseek/val/oven_05039955.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0162_infoseek_val_00068215__m1__infoseek_val_00038269.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0162_infoseek_val_00068215__m2__infoseek_val_00048740.jpg,saved,saved,
infoseek_val_00051582,Dunguaire Castle,https://en.wikipedia.org/wiki/Dunguaire_Castle,building,Which historic county in Ireland does this building belong to?,County Galway,String,right,Split Rock Lighthouse,infoseek_val_00008959,https://en.wikipedia.org/wiki/Split_Rock_Lighthouse,building,same_type,Dunguaire Castle(right) + Split Rock Lighthouse(left),Which historic county in Ireland does the building on the right belong to?,County Galway,Manassas National Battlefield Park,infoseek_val_00013517,https://en.wikipedia.org/wiki/Manassas_National_Battlefield_Park,park,different_entity_type+cross_family,Dunguaire Castle(right) + Manassas National Battlefield Park(left),Which historic county in Ireland does the building on the right belong to?,Which historic county in Ireland does the building on the right belong to?,Which historic county in Ireland does this building belong to?,County Galway,Manassas National Battlefield Park,https://en.wikipedia.org/wiki/Manassas_National_Battlefield_Park,oven_05019681,images/infoseek/val/oven_05019681.jpg,oven_04955721,images/infoseek/val/oven_04955721.jpg,oven_04953582,images/infoseek/val/oven_04953582.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0163_infoseek_val_00051582__m1__infoseek_val_00008959.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0163_infoseek_val_00051582__m2__infoseek_val_00013517.jpg,saved,saved,
