data_id,wikipedia_title,wikipedia_url,question_type,encyclopedic_vqa_split,dataset_image_ids,question_before_review,question,answer,evidence,evidence_section_id,evidence_section_title,final_check_reason,dataset_name
E-VQA_1542,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2759831,What color is the fruit of this plant?,What color is the fruit of this plant?,bright red,"The fruit is a bright red berry, 1 cm diameter. Its fairly large tuber is, like the rest of the plant, poisonous.",1,Description,skipped_q_clear,inaturalist
E-VQA_1543,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2749715,How are the male and female plants arranged in this plant?,What is the reproductive arrangement of male and female structures in this plant?,separate,"It is dioecious, with separate male and female plants. The flowers are individually inconspicuous, greenish-yellow, 3–6 mm diameter, with six petals; the male flowers produced in slender 5–10 cm racemes, the female flowers in shorter clusters.",1,Description,"The word 'separate' from the expected answer appears verbatim in the evidence, and the question's phrasing 'spatially arranged' strongly hints at this specific answer, creating a potential answer leak.",inaturalist
E-VQA_1544,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2782932,What part of asia does this plant inhabit?,What region of Asia does this plant inhabit?,western,"Dioscorea communis is native and widespread throughout southern and central Europe, northwest Africa and western Asia, from Ireland to the Canary Islands, east to Iran and Crimea.",2,Distribution,"The question is clear, does not leak the answer, and can be answered using the provided evidence.",inaturalist
E-VQA_1545,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2732161,What part of europe does this plant call home?,What region of Europe does this plant call home?,southern and central Europe,"Dioscorea communis is native and widespread throughout southern and central Europe, northwest Africa and western Asia, from Ireland to the Canary Islands, east to Iran and Crimea.",2,Distribution,"The question is clear, does not leak the answer, and directly targets the information present in the evidence.",inaturalist
E-VQA_1546,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2701660,"Outside of europe and asia, where else is this plant native?",In which region outside of Europe and Asia is this plant native?,northwest Africa,"Dioscorea communis is native and widespread throughout southern and central Europe, northwest Africa and western Asia, from Ireland to the Canary Islands, east to Iran and Crimea.",2,Distribution,"The question is clear, does not leak the answer, and directly guides retrieval of the expected answer from the evidence.",inaturalist
E-VQA_1547,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2756552,What is the furthest this plant can be found from mountains?,What is the furthest location from mountains where this plant can be found?,sea,"Dioscorea communis is a typical plant of the forest understory, from the sea to the mountains, usually in dense woods, but it can also be found in meadows and hedges.",3,Habitat,"The question asks for 'furthest distance from mountains' but the evidence only provides qualitative locations ('from the sea to the mountains'), not quantitative distances. The question as phrased cannot be answered with the given evidence.",inaturalist
E-VQA_1548,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2748930,"Besides bruises, what else has this plant been used for as a poultice?","Besides bruises, what else has this plant been used for as a poultice?",inflamed joints,"All components of the black bryony plant, including the tubers, are poisonous due to saponin content, so it is not typically used internally; however, it has been used as a poultice for bruises and inflamed joints. It has been suggested that black bryony be used topically with caution, due to a tendency for the plant t ...",4,Uses,skipped_q_clear,inaturalist
E-VQA_1549,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2695126,"In addition to the rhizomes, what other part of this plant contains calcium oxalate deposits and histamines?","In addition to the rhizomes, what other part of this plant contains calcium oxalate deposits and histamines?",berry juice,"Studies have isolated calcium oxalate deposits and histamines in the berry juice and rhizomes, which may contribute to skin irritation and contact dermatitis associated with black bryony. Black Bryony is highly poisonous and should not be ingested at all at least when raw.",4,Uses,"The question explicitly mentions 'the juice from the berry' which is the expected answer 'berry juice', directly leaking the answer.",inaturalist
E-VQA_1550,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2695126,"What are young shoots of this plant commonly used for in southern france, spain, portugal, italy and croatia?","What are young shoots of this plant commonly used for in southern france, spain, portugal, italy and croatia?",eaten,"When cooked, young shoots are commonly eaten in southern France, Spain, Portugal, Italy and Croatia.",4,Uses,skipped_q_clear,inaturalist
E-VQA_1551,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2748930,What type of calcium deposit is found in this plant?,What type of calcium deposit is found in this plant?,oxalate,"Studies have isolated calcium oxalate deposits and histamines in the berry juice and rhizomes, which may contribute to skin irritation and contact dermatitis associated with black bryony. Black Bryony is highly poisonous and should not be ingested at all at least when raw.",4,Uses,skipped_q_clear,inaturalist
E-VQA_1552,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2732161,What is one of the deposits in this plant that may cause skin irritation?,What is one of the deposits found in this plant that may cause skin irritation?,calcium oxalate,"Studies have isolated calcium oxalate deposits and histamines in the berry juice and rhizomes, which may contribute to skin irritation and contact dermatitis associated with black bryony. Black Bryony is highly poisonous and should not be ingested at all at least when raw.",4,Uses,"The question contains 'chemical deposits' which directly hints at the specific answer 'calcium oxalate' from the evidence, creating a strong semantic link that could leak the answer.",inaturalist
E-VQA_1553,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2749715,What does the rhizome of this plant contain?,What does the rhizome of this plant contain?,phenanthrenes,"The rhizome contains phenanthrenes (7-hydroxy-2,3,4,8-tetramethoxyphenanthrene, 2,3,4-trimethoxy-7,8-methylenedioxyphenanthrene, 3-hydroxy-2,4,-dimethoxy-7,8-methylenedioxyphenanthrene, 2-hydroxy-3,5,7-trimethoxyphenanthrene and 2-hydroxy-3,5,7-trimethoxy-9,10-dihydrophenanthrene).",5,Chemistry,skipped_q_clear,inaturalist
E-VQA_1554,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2748930,What is one phenanthrene found in this plant?,"What is one phenanthrene compound found in this plant, including its substituent positions?","7-hydroxy-2,3,4,8-tetramethoxyphenanthrene","The rhizome contains phenanthrenes (7-hydroxy-2,3,4,8-tetramethoxyphenanthrene, 2,3,4-trimethoxy-7,8-methylenedioxyphenanthrene, 3-hydroxy-2,4,-dimethoxy-7,8-methylenedioxyphenanthrene, 2-hydroxy-3,5,7-trimethoxyphenanthrene and 2-hydroxy-3,5,7-trimethoxy-9,10-dihydrophenanthrene).",5,Chemistry,"The question asks for 'the specific phenanthrene compound' which implies a single answer, but the evidence lists multiple compounds. The expected answer is one of them, but the question phrasing could lead to ambiguity or be interpreted as requesting the only compound, which might not match the evidence structure.",inaturalist
E-VQA_1555,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2748930,Where are phenanthrenes found in this plant?,Where in the plant are phenanthrenes found?,The rhizome,"The rhizome contains phenanthrenes (7-hydroxy-2,3,4,8-tetramethoxyphenanthrene, 2,3,4-trimethoxy-7,8-methylenedioxyphenanthrene, 3-hydroxy-2,4,-dimethoxy-7,8-methylenedioxyphenanthrene, 2-hydroxy-3,5,7-trimethoxyphenanthrene and 2-hydroxy-3,5,7-trimethoxy-9,10-dihydrophenanthrene).",5,Chemistry,"The question includes 'rhizome' as an example option, which is the exact expected answer, potentially leading the model to select it without consulting the evidence.",inaturalist
E-VQA_1556,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2701660,What is one of the phenanthrenes found in this plant?,What is one of the phenanthrenes found in this plant?,"7-hydroxy-2,3,4,8-tetramethoxyphenanthrene","The rhizome contains phenanthrenes (7-hydroxy-2,3,4,8-tetramethoxyphenanthrene, 2,3,4-trimethoxy-7,8-methylenedioxyphenanthrene, 3-hydroxy-2,4,-dimethoxy-7,8-methylenedioxyphenanthrene, 2-hydroxy-3,5,7-trimethoxyphenanthrene and 2-hydroxy-3,5,7-trimethoxy-9,10-dihydrophenanthrene).",5,Chemistry,skipped_q_clear,inaturalist
E-VQA_1557,Dioscorea communis,https://en.wikipedia.org/wiki/Dioscorea_communis,automatic,test,2738707,"What does the rhizome of this plant contain that is 2-hydroxy-3,5,7?",What specific phenanthrene compound is found in the rhizome of this plant?,trimethoxyphenanthrene,"The rhizome contains phenanthrenes (7-hydroxy-2,3,4,8-tetramethoxyphenanthrene, 2,3,4-trimethoxy-7,8-methylenedioxyphenanthrene, 3-hydroxy-2,4,-dimethoxy-7,8-methylenedioxyphenanthrene, 2-hydroxy-3,5,7-trimethoxyphenanthrene and 2-hydroxy-3,5,7-trimethoxy-9,10-dihydrophenanthrene).",5,Chemistry,"The question contains '2-hydroxy-3,5,7' which is a partial match to the expected answer 'trimethoxyphenanthrene' and appears verbatim in the evidence as part of the compound name '2-hydroxy-3,5,7-trimethoxyphenanthrene', potentially leaking the answer.",inaturalist
E-VQA_1558,Diospyros virginiana,https://en.wikipedia.org/wiki/Diospyros_virginiana,automatic,test,2773168,What evidence of this plant has been found in miocene rocks of greenland and alaska?,What evidence of this plant has been found in miocene rocks of greenland and alaska?,fossil remains,"Its fossil remains have been found in Miocene rocks of Greenland and Alaska and in Cretaceous formations in Nebraska. Diospyros virginiana is considered to be an evolutionary anachronism that was consumed by one or more of the Pleistocene megafauna that roamed the North American continent until 10,000 years ago.",2,Distribution,skipped_q_clear,inaturalist
E-VQA_1559,Diplacus aurantiacus,https://en.wikipedia.org/wiki/Diplacus_aurantiacus,automatic,test,2745431,In what country has this plant won an award?,In what country has this plant won an award?,UK,In the UK it has won the Royal Horticultural Society's Award of Garden Merit.,2,Cultivation,"The suggested question includes 'UK' as an example, which is the exact expected answer, leaking the answer to the model.",inaturalist
E-VQA_1560,Diuris orientis,https://en.wikipedia.org/wiki/Diuris_orientis,automatic,test,2763072,When was this plant first formally described?,In what year was this plant first formally described?,1998,Diuris orientis was first formally described in 1998 by David Jones from a specimen collected at Beauty Point in Tasmania. The description was published in Australian Orchid Research.,2,Taxonomy and naming,"The question is clear, unambiguous, and directly targets the expected answer without leaking it. The evidence explicitly contains the year information needed to answer.",inaturalist
E-VQA_1561,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2718128,What do female this insect lay that develop into males?,What do female this insect lay that develop into males?,eggs,"Worker females can, therefore, lay eggs that develop into males.",0,Dolichovespula maculata,"The word 'eggs' appears verbatim in the evidence, and the question 'What type of reproductive cells do female this insect lay that develop into males?' directly points to 'eggs' as the answer, making it too leading and leaking the answer.",inaturalist
E-VQA_1562,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2688891,What type of names does this insect have?,What type of alternative name does this insect have?,colloquial,"It is known by many colloquial names, primarily bald-faced hornet, but also including bald-faced aerial yellowjacket, bald-faced wasp, bald hornet, white-faced hornet, blackjacket, white-tailed hornet, spruce wasp, and bull wasp. Technically a species of yellowjacket wasp, it is not one of the true hornets, which are i ...",0,Dolichovespula maculata,"The question contains the exact expected answer 'colloquial' in 'colloquial name', which directly leaks the answer.",inaturalist
E-VQA_1563,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2723466,Is this insect a part or non-part of the vespidae family?,Is this insect a part or non-part of the vespidae family?,part,"maculata is part of the cosmopolitan family Vespidae, in the genus Dolichovespula. Its black and white coloring differentiates it from its mostly black and yellow congenerics.",1,Taxonomy and phylogenetics,skipped_q_clear,inaturalist
E-VQA_1564,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2688891,What does this insect's black and white coloring differentiate it from?,What does this insect's black and white coloring differentiate it from?,its mostly black and yellow congenerics,Its black and white coloring differentiates it from its mostly black and yellow congenerics.,1,Taxonomy and phylogenetics,"The question contains the exact expected answer phrase 'its mostly black and yellow congenerics', which directly leaks the answer.",inaturalist
E-VQA_1565,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2732545,What does this insect have at the end of its body?,What feature does this insect have at the end of its body?,three white stripes,"This wasp also has three white stripes at the end of its body and is notably larger than other species of Dolichovespula, as adults average about 19 mm (0.75 in) in length. Queen and worker wasps have similar morphologies.",2,Description,"The question 'What color pattern does this insect have at the end of its body?' contains the phrase 'color pattern', which directly hints at the expected answer 'three white stripes' (a color pattern description). This leaks the type of answer expected.",inaturalist
E-VQA_1566,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2723466,How many millimeters long are the nests of this insect?,How many millimeters long are the nests of this insect?,580,"maculata creates egg-shaped, paper nests up to 360 mm (14 in) in diameter and 580 mm (23 in) in length. Nests are layered hexagonal combs covered by a mottled gray paper envelope.",2,Description,skipped_q_clear,inaturalist
E-VQA_1567,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2718128,What species is this insect larger than?,What species is this insect larger than?,Dolichovespula,"This wasp also has three white stripes at the end of its body and is notably larger than other species of Dolichovespula, as adults average about 19 mm (0.75 in) in length. Queen and worker wasps have similar morphologies.",2,Description,"The question 'What species is this insect larger than in length?' contains the phrase 'in length', which directly matches the evidence phrase 'in length' that immediately follows the expected answer 'Dolichovespula'. This creates a strong contextual clue that could leak the answer.",inaturalist
E-VQA_1568,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2718128,Where does this insect live?,In which region does this insect live?,North America,"The bald-faced hornet lives in North America, including Canada, the Rocky Mountains, the western coast of the United States, and most of the eastern United States. It is most common in the Southeastern United States.",3,Distribution,"The question 'In which country does this insect live?' is too narrow given the evidence. The evidence states the insect lives in 'North America', which is a continent, not a country. The question should be revised to match the evidence scope.",inaturalist
E-VQA_1569,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2766846,What do these insects build in trees and bushes?,What structures do these insects build in trees and bushes?,Nests,"Nests are generally located in trees and bushes, but  occasionally are found under rock overhangs or the sides of buildings. Vertical distribution of nests has been recorded from heights of 0.3 to 20 m (1 ft 0 in to 65 ft 7 in) above ground level.",3,Distribution,"The word 'nests' appears in both QUESTION_USED and EXPECTED_ANSWER, directly leaking the answer.",inaturalist
E-VQA_1570,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2707377,Has the vertical distribution of this insect's nests been recorded or unrecorded?,Has the vertical distribution of this insect's nests been recorded or unrecorded?,recorded,Vertical distribution of nests has been recorded from heights of 0.3 to 20 m (1 ft 0 in to 65 ft 7 in) above ground level.,3,Distribution,skipped_q_clear,inaturalist
E-VQA_1571,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2723466,What type of diet do this insect have?,What is the primary food source of this insect?,omnivorous,"Bald-faced hornets are omnivorous, and considered to be beneficial due to their predation of flies, caterpillars, and spiders. Their aggressive defensive nature, though, makes them a threat to humans who wander too close to a nest or when a nest is constructed too close to human habitation.",4,Behavior,"QUESTION_USED is clear, does not leak the answer, and directly targets the information needed to find the expected answer in the evidence.",inaturalist
E-VQA_1572,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2707377,What does this insect spray from its stinger?,What does this insect spray from its stinger?,venom,The bald-faced hornet has a unique defense in that it can squirt or spray venom from the stinger into the eyes of vertebrate nest intruders. The venom causes immediate watering of the eyes and temporary blindness.,4,Behavior,skipped_q_clear,inaturalist
E-VQA_1573,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2732545,What is the nature of this insect's defensive behavior?,What is the nature of this insect's defensive behavior?,aggressive,"Their aggressive defensive nature, though, makes them a threat to humans who wander too close to a nest or when a nest is constructed too close to human habitation. They vigorously defend the nest, with workers stinging repeatedly, as is common among social bees and wasps.",4,Behavior,skipped_q_clear,inaturalist
E-VQA_1574,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2688891,How many queens does it take to found a colony of this insect?,How many queens does it take to found a colony of this insect?,single,"The colony is founded by a single overwintered, inseminated queen. She rears the first generation of workers on her own until they are functional.",6,Founding stage,skipped_q_clear,inaturalist
E-VQA_1575,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2718128,What is the term for the stage of this wasp when they are concerned with cell building and worker production?,What is the term for the behavioral phase of this wasp when the colony's activities are focused on cell construction and producing workers?,ergonomic,"During the ergonomic stage, the colony's activities are concerned with cell building and worker production. The queen devotes herself entirely to laying eggs, while the workers take over all other necessary housekeeping tasks.",7,Ergonomic and reproductive stage,"The term 'ergonomic' appears in the evidence as the name of the stage, and the question uses the phrase 'behavioral phase' which is synonymous with 'stage'. The question essentially asks for the term that describes the stage when they are concerned with cell building and worker production, which is directly defined in the evidence as the 'ergonomic stage'. This makes the answer too easily retrievable by simply matching the description.",inaturalist
E-VQA_1576,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2708083,What month marked the beginning of the reproductive stage for this insect in 1977?,What month marked the beginning of the reproductive stage for this insect in 1977?,July,"In a sampling of 50 colonies taken in Maryland in 1977, workers were produced from mid-April to early October, and reproductives were produced from mid-July through the end of November. Onset of male output usually precedes that of queen output in social wasps, but D.",7,Ergonomic and reproductive stage,skipped_q_clear,inaturalist
E-VQA_1577,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2691722,"A colony of this wasp is divided into haploid males, the queen, and what other group?","A colony of this wasp is divided into haploid males, the queen, and what other group?",female workers,"A colony is divided into haploid males, female workers, and the queen. All females are born with reproductive capacities.",9,Caste structure and distribution,skipped_q_clear,inaturalist
E-VQA_1578,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2723466,"A colony of this insect is divided into the queen, female workers, and what?","A colony of this insect is divided into the queen, female workers, and what?",haploid males,"A colony is divided into haploid males, female workers, and the queen. All females are born with reproductive capacities.",9,Caste structure and distribution,skipped_q_clear,inaturalist
E-VQA_1579,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2750690,What is this wasp known for?,What is this wasp known for in terms of its social organization?,Caste structure and distribution,"A colony is divided into haploid males, female workers, and the queen. All females are born with reproductive capacities.",9,Caste structure and distribution,"The question explicitly contains the expected answer 'caste structure and distribution' verbatim, which directly leaks the answer.",inaturalist
E-VQA_1580,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2708083,"A colony of this wasp is divided into haploid males, the queen and what other caste?","A colony of this wasp is divided into haploid males, the queen and what other caste?",female workers,"A colony is divided into haploid males, female workers, and the queen. All females are born with reproductive capacities.",9,Caste structure and distribution,skipped_q_clear,inaturalist
E-VQA_1581,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2750690,"A colony of this wasp is divided into haploid males, the queen, and what other caste?","A colony of this wasp is divided into haploid males, the queen, and what other caste?",female workers,"A colony is divided into haploid males, female workers, and the queen. All females are born with reproductive capacities.",9,Caste structure and distribution,skipped_q_clear,inaturalist
E-VQA_1582,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2688891,What type of relatedness is within various classes of this wasp?,What type of relatedness is within various classes of this wasp?,Genetic,"In D. maculata, queens mate with only one male, which results in a worker relatedness of 0.75, whereas the relatedness between the queen and worker is only 0.5.",13,Genetic relatedness within various classes,"The word 'genetic' appears verbatim in QUESTION_USED and is the exact expected answer, directly leaking the answer.",inaturalist
E-VQA_1583,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2766846,What type of relatedness is there within this wasp?,What type of relatedness is there within this wasp?,Genetic,"In D. maculata, queens mate with only one male, which results in a worker relatedness of 0.75, whereas the relatedness between the queen and worker is only 0.5.",13,Genetic relatedness within various classes,"The word 'genetic' appears verbatim in both QUESTION_USED and EXPECTED_ANSWER, directly leaking the answer.",inaturalist
E-VQA_1584,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2688891,What type of relatedness does this wasp have?,What type of relatedness does this wasp have?,Genetic,"In D. maculata, queens mate with only one male, which results in a worker relatedness of 0.75, whereas the relatedness between the queen and worker is only 0.5.",13,Genetic relatedness within various classes,"The word 'genetic' appears verbatim in QUESTION_USED and is the exact EXPECTED_ANSWER, directly leaking the answer.",inaturalist
E-VQA_1585,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2707377,Which part of this wasp has the ability to discriminate between fragments of natal comb and foreign comb?,Which part of this wasp has the ability to discriminate between fragments of natal comb and foreign comb?,Gynes,Gynes in D. maculata have the ability to discriminate between fragments of natal comb and foreign comb.,14,Kin recognition and discrimination,skipped_q_clear,inaturalist
E-VQA_1586,Dolichovespula maculata,https://en.wikipedia.org/wiki/Bald-faced_hornet,automatic,test,2766846,Which part of this wasp can tell the difference between a natal comb and a foreign comb?,Which part of this wasp can tell the difference between a natal comb and a foreign comb?,Gynes,Gynes in D. maculata have the ability to discriminate between fragments of natal comb and foreign comb.,14,Kin recognition and discrimination,skipped_q_clear,inaturalist
E-VQA_1587,Draba cuneifolia,https://en.wikipedia.org/wiki/Draba_cuneifolia,automatic,test,2740632,What species of this plant is listed as special concern in tennessee?,What species of this plant is listed as special concern in tennessee?,Wedge-leaved Whitlow-grass,"The State of Illinois has listed Draba cuneifolia, Whitlow Grass as Endangered: The State of Ohio has listed Draba cuneifolia, Wedge-leaf Whitlow-grass as Threatened; The State of Kentucky has listed Draba cuneifolia, Wedge-leaf Whitlow-grass as Endangered; and The State of Tennessee has listed Draba cuneifolia, Wedge- ...",2,Conservation status,skipped_q_clear,inaturalist
E-VQA_1588,Dryocopus martius,https://en.wikipedia.org/wiki/Black_woodpecker,automatic,test,2745930,How many subspecies of this bird are there?,How many subspecies of this bird are there?,Two,Two subspecies are recognised: D. m.,1,Taxonomy,skipped_q_clear,inaturalist
E-VQA_1589,Dryopteris intermedia,https://en.wikipedia.org/wiki/Dryopteris_intermedia,automatic,test,2752974,Are the naturally occurring hybrids with this plant involving or uninvolving?,Are the naturally occurring hybrids with this plant genetically compatible?,involving,"Several naturally occurring hybrids involving Dryopteris intermedia exist. These include: Dryopteris campyloptera × Dryopteris intermedia (""hybrid wood fern"") Dryopteris intermedia × Dryopteris marginalis (""glandular marginal wood fern"") Dryopteris ×boottii (""Boott's wood fern"") Dryopteris ×triploidea (""triploid wood f ...",5,Hybrids,"The word 'involving' appears in both the question and the expected answer, creating a direct lexical overlap that could leak the answer.",inaturalist
E-VQA_1590,Dudleya farinosa,https://en.wikipedia.org/wiki/Dudleya_farinosa,automatic,test,2753900,"In addition to coastal hillsides, where is this plant commonly found?","In the Pacific Northwest, where is this plant commonly found?",bluffs,"This plant is native to the coastline of parts of Oregon and northern California, where it is commonly found on bluffs and coastal hillsides. One specialized habitat in which D.",7,Distribution,"The question 'In addition to coastal hillsides, where is this plant commonly found in the Pacific Northwest?' contains the phrase 'coastal hillsides', which appears verbatim in the evidence as the location the plant is found. Since the expected answer 'bluffs' is the other location mentioned alongside 'coastal hillsides' in the evidence, the question essentially gives away the answer by specifying one of the two paired locations.",inaturalist
E-VQA_1591,Dudleya farinosa,https://en.wikipedia.org/wiki/Dudleya_farinosa,automatic,test,2762445,Where can you find more information about this plant?,Where can you find more information about this plant?,International Crassulaceae Network,International Crassulaceae Network. Retrieved 13 June 2022.,12,Online,skipped_q_clear,inaturalist
E-VQA_1592,Dudleya pulverulenta,https://en.wikipedia.org/wiki/Dudleya_pulverulenta,automatic,test,2756425,How many meters can the stalk of this plant reach?,How many meters can the stalk of this plant reach?,1.2,"The peduncle is among the largest of the genus, and the entire stalk may reach up to 1.2 meters (4 feet). Its pale green or white inflorescences are nodding in youth, but spread in age.",1,Description,skipped_q_clear,inaturalist
E-VQA_1593,Dumetella carolinensis,https://en.wikipedia.org/wiki/Gray_catbird,automatic,test,2747393,What other bird does this bird mimic?,What other bird does this bird mimic?,mockingbirds,"Like many members of the Mimidae (in particular mockingbirds), it also mimics the songs of other birds, as well as those of Hylidae (tree frogs), and even mechanical sounds. Because of its well-developed songbird syrinx, it is able to make two sounds at the same time.",3,Vocalizations,skipped_q_clear,inaturalist
E-VQA_1594,Dysphania militaris,https://en.wikipedia.org/wiki/Dysphania_militaris,automatic,test,2716500,What type of purple fascia does this plant have?,What type of purple fascia does this plant have?,oblique basal,"Two oblique basal purple fascia, where the lower fascia sometimes having a spot detached from it. Two spots found on costa near base.",1,Description,"The question contains the exact phrase 'oblique basal' which is the expected answer, directly leaking the answer.",inaturalist
E-VQA_1595,Egretta garzetta,https://en.wikipedia.org/wiki/Little_egret,automatic,test,2693898,Where else besides barbados does this bird breed?,"Where else besides Barbados does this bird breed, at the country level?",the Bahamas,The bird began breeding on the island in 1994 and now also breeds in the Bahamas. Ringed birds from Spain provide a clue to the birds' origin.,10,Colonisation of the New World,"The question is clear, specifies the country-level granularity, does not leak the answer, and can be answered directly from the evidence.",inaturalist
E-VQA_1596,Elaeagnus angustifolia,https://en.wikipedia.org/wiki/Elaeagnus_angustifolia,automatic,test,2710470,In what unit are the leaves of this plant measured?,In what unit is the length of the leaves of this plant measured?,centimetres,"The leaves are alternate, lanceolate, 4–9 centimetres (1+1⁄2–3+1⁄2 inches) long and 1–2.5 cm (3⁄8–1 in) broad, with a smooth margin. The plants begin to flower and fruit from 3 years old.",1,Description,"The question is clear, specific, and helps retrieve the answer from the evidence without leaking it. The evidence explicitly mentions leaf length in centimetres.",inaturalist
E-VQA_1597,Empidonax alnorum,https://en.wikipedia.org/wiki/Alder_flycatcher,automatic,test,2697657,Where does this bird descend to in the northeastern united states?,Where does this bird descend to in the northeastern United States?,southernmost point,"The summer breeding range of the species covers most of Canada and Alaska, descending to a southernmost point in the northeastern United States. In autumn, E.",3,Habitat and distribution,"The phrase 'southernmost region' in QUESTION_USED directly hints at the expected answer 'southernmost point', creating a near-verbatim leak.",inaturalist
E-VQA_1598,Enallagma divagans,https://en.wikipedia.org/wiki/Enallagma_divagans,automatic,test,2702413,Is there an immediate threat to the survival of this insect?,Is there an immediate threat to the survival of this insect?,no,"The IUCN conservation status of Enallagma divagans is ""least concern"", with no immediate threat to the species' survival. The population is stable.",0,Enallagma divagans,skipped_q_clear,inaturalist
E-VQA_1599,Eooxylides tharis,https://en.wikipedia.org/wiki/Eooxylides_tharis,automatic,test,2737614,What family does this butterfly belong to?,What family does this butterfly belong to?,Lycaenidae,"Eooxylides tharis, the branded imperial, is a butterfly in the family Lycaenidae. It was described by Carl Geyer in 1837.",0,Eooxylides tharis,skipped_q_clear,inaturalist
E-VQA_1600,Eooxylides tharis,https://en.wikipedia.org/wiki/Eooxylides_tharis,automatic,test,2711239,Who described this butterfly?,Who described this butterfly?,Carl Geyer,It was described by Carl Geyer in 1837. It is found in the Indomalayan realm.,0,Eooxylides tharis,skipped_q_clear,inaturalist
E-VQA_1601,Epipactis helleborine,https://en.wikipedia.org/wiki/Epipactis_helleborine,automatic,test,2762624,What subspecies of this plant is found in turkey?,What subspecies of this plant is found in Turkey (the country)?,bithynica,bithynica (Robatsch) Kreutz - Turkey Epipactis helleborine subsp. helleborine - widespread Epipactis helleborine subsp.,5,Subspecies,"The question clearly specifies Turkey as a country, which matches the evidence location, and the answer 'bithynica' is not leaked in the question. The evidence supports the answer.",inaturalist
E-VQA_1602,Equisetum telmateia,https://en.wikipedia.org/wiki/Equisetum_telmateia,automatic,test,2701361,What does this plant commonly form?,What type of colonies does this plant commonly form?,large clonal colonies,"It is found in damp shady places, spring fens and seepage lines, usually in open woodlands, commonly forming large clonal colonies.",3,Habitat,"The phrase 'large-scale structure' in QUESTION_USED directly hints at the expected answer 'large clonal colonies' by using the word 'large', creating a near-verbatim leak.",inaturalist
